start	end	seg_len
1185616818	1185617176	358
1185617182	1185621053	3871
1185621055	1185624796	3741
1185625705	1185627450	1745
1185627453	1185631465	4012
1185657014	1185657618	604
1185658407	1185661973	3566
1185663127	1185667694	4567
1185667826	1185671336	3510
1185671338	1185686035	14697
1185688134	1185689190	1056
1185695189	1185697620	2431
1185700103	1185700530	427
1185706914	1185714093	7179
1185717215	1185722495	5280
1185722497	1185725680	3183
1185752705	1185764509	11804
1185766529	1185777704	11175
1185777706	1185781216	3510
1185781218	1185788147	6929
1185788150	1185788160	10
1185788940	1185789324	384
1185789327	1185791820	2493
1185792300	1185813600	21300
1185834867	1185836640	1773
1185836642	1185838700	2058
1185844432	1185852415	7983
1185859580	1185865410	5830
1185865412	1185865515	103
1185865517	1185865666	149
1185865668	1185866130	462
1185866134	1185866140	6
1185866143	1185866145	2
1185866147	1185866279	132
1185868852	1185873500	4648
1185874452	1185877297	2845
1185885164	1185896000	10836
1185898360	1185898649	289
1185908559	1185909696	1137
1185911564	1185912190	626
1185912193	1185912267	74
1185917125	1185917208	83
1185919460	1185919620	160
1185919762	1185920556	794
1185920558	1185924698	4140
1185927698	1185927743	45
1185928396	1185935428	7032
1185938680	1185961200	22520
1185963702	1185985790	22088
1185988106	1185999074	10968
1186004399	1186028710	24311
1186030081	1186033253	3172
1186033256	1186048680	15424
1186048750	1186054457	5707
1186058186	1186058240	54
1186058514	1186061163	2649
1186063034	1186081491	18457
1186091993	1186095020	3027
1186097764	1186097840	76
1186099169	1186099200	31
1186099446	1186107557	8111
1186108973	1186119405	10432
1186124881	1186125240	359
1186125480	1186126260	780
1186126500	1186126740	240
1186126860	1186158132	31272
1186158134	1186163649	5515
1186163651	1186163657	6
1186163660	1186164245	585
1186164248	1186165462	1214
1186165465	1186165466	1
1186165468	1186165850	382
1186165852	1186166066	214
1186166068	1186170063	3995
1186170065	1186177216	7151
1186177218	1186177559	341
1186177562	1186177829	267
1186177831	1186178239	408
1186178241	1186178926	685
1186178928	1186180702	1774
1186180704	1186181960	1256
1186192128	1186192196	68
1186192240	1186197030	4790
1186198323	1186201219	2896
1186203525	1186209431	5906
1186221989	1186234888	12899
1186234892	1186235394	502
1186295280	1186295400	120
1186295460	1186295580	120
1186295640	1186304054	8414
1186307188	1186317582	10394
1186317584	1186329783	12199
1186352759	1186367320	14561
1186369670	1186385650	15980
1186386506	1186413196	26690
1186413198	1186415107	1909
1186415109	1186417790	2681
1186417831	1186418824	993
1186447249	1186455387	8138
1186455389	1186460391	5002
1186461995	1186462513	518
1186462515	1186466220	3705
1186593871	1186596698	2827
1186596707	1186609762	13055
1186644358	1186664342	19984
1186673359	1186676273	2914
1186678230	1186679820	1590
1186683875	1186694318	10443
1186696765	1186701000	4235
1186703624	1186703677	53
1186703679	1186707240	3561
1186711427	1186714010	2583
1186714014	1186714022	8
1186714024	1186714042	18
1186714044	1186717506	3462
1186717508	1186719874	2366
1186724287	1186725690	1403
1186725740	1186727654	1914
1186727656	1186730140	2484
1186730190	1186730559	369
1186730561	1186731030	469
1186731975	1186733720	1745
1186735558	1186756971	21413
1186756973	1186756987	14
1186756989	1186758679	1690
1186758681	1186761929	3248
1186761931	1186762023	92
1186762025	1186764550	2525
1186764590	1186767946	3356
1186772314	1186775583	3269
1186775587	1186775676	89
1186775679	1186775763	84
1186775766	1186775774	8
1186775776	1186776065	289
1186776067	1186776616	549
1186776618	1186777447	829
1186777449	1186777452	3
1186777454	1186787308	9854
1186787312	1186788992	1680
1186788994	1186789162	168
1186789164	1186789169	5
1186789172	1186797575	8403
1186797577	1186803491	5914
1186803493	1186807201	3708
1186807203	1186815000	7797
1186815900	1186818067	2167
1186823504	1186825265	1761
1186825447	1186831210	5763
1186831260	1186840847	9587
1186879584	1186887600	8016
1186887840	1186893397	5557
1186896968	1186936222	39254
1186936236	1186939867	3631
1186953207	1186953292	85
1186953294	1186985080	31786
1186987452	1187001382	13930
1187005013	1187009326	4313
1187009328	1187010566	1238
1187010568	1187014414	3846
1187014416	1187018570	4154
1187021619	1187021749	130
1187023761	1187028937	5176
1187028939	1187039542	10603
1187041964	1187048797	6833
1187050774	1187052164	1390
1187053503	1187053568	65
1187053824	1187054051	227
1187054053	1187061100	7047
1187083265	1187085559	2294
1187085561	1187094329	8768
1187094331	1187101990	7659
1187101992	1187105816	3824
1187105818	1187107474	1656
1187107476	1187117257	9781
1187117259	1187124167	6908
1187127590	1187128063	473
1187128066	1187141918	13852
1187144138	1187144546	408
1187144549	1187144699	150
1187150554	1187171933	21379
1187171935	1187183369	11434
1187183371	1187193616	10245
1187193618	1187198709	5091
1187198711	1187213249	14538
1187213253	1187220283	7030
1187220286	1187220295	9
1187220297	1187220299	2
1187220301	1187225084	4783
1187227274	1187232087	4813
1187242937	1187243529	592
1187247857	1187276788	28931
1187278805	1187278848	43
1187278947	1187281660	2713
1187281662	1187282200	538
1187282202	1187298190	15988
1187298290	1187299972	1682
1187299975	1187300383	408
1187305202	1187307660	2458
1187310866	1187312020	1154
1187313590	1187331480	17890
1187333635	1187336377	2742
1187336379	1187339671	3292
1187339673	1187349260	9587
1187350888	1187353743	2855
1187357038	1187359440	2402
1187366372	1187367127	755
1187367129	1187368746	1617
1187368748	1187369600	852
1187369640	1187372304	2664
1187372307	1187374880	2573
1187374923	1187379699	4776
1187379702	1187386207	6505
1187386209	1187386957	748
1187386959	1187386966	7
1187386969	1187387238	269
1187387241	1187388926	1685
1187388928	1187389149	221
1187389151	1187390120	969
1187390122	1187390302	180
1187390304	1187393836	3532
1187393838	1187394920	1082
1187394922	1187405369	10447
1187405371	1187408963	3592
1187408966	1187425680	16714
1187425800	1187440026	14226
1187441995	1187443322	1327
1187483747	1187485151	1404
1187485153	1187485156	3
1187485158	1187494760	9602
1187499245	1187516826	17581
1187516828	1187516831	3
1187516835	1187517063	228
1187524296	1187525074	778
1187529750	1187539287	9537
1187539289	1187544486	5197
1187544488	1187544789	301
1187544798	1187558591	13793
1187558593	1187583210	24617
1187584510	1187592904	8394
1187592909	1187600980	8071
1187605759	1187605809	50
1187606124	1187606264	140
1187606269	1187606810	541
1187609753	1187617289	7536
1187618772	1187618816	44
1187619107	1187619133	26
1187619155	1187627224	8069
1187634944	1187645615	10671
1187645617	1187645736	119
1187645738	1187645848	110
1187645852	1187645853	1
1187645855	1187645859	4
1187645862	1187646078	216
1187646083	1187646289	206
1187646291	1187646353	62
1187646355	1187646511	156
1187646513	1187646517	4
1187646520	1187646564	44
1187646566	1187646568	2
1187646571	1187646575	4
1187646577	1187646579	2
1187646581	1187646607	26
1187646609	1187646628	19
1187646630	1187646631	1
1187646634	1187646640	6
1187646642	1187646651	9
1187646653	1187646673	20
1187646675	1187646720	45
1187646723	1187646726	3
1187646728	1187646731	3
1187646734	1187646736	2
1187646739	1187647007	268
1187647009	1187647287	278
1187647292	1187647299	7
