start	end	seg_len
1164600798	1164602766	1968
1164602771	1164602794	23
1164602803	1164602851	48
1164602857	1164602902	45
1164602908	1164602909	1
1164602918	1164602921	3
1164602940	1164602941	1
1164602946	1164602947	1
1164602969	1164602976	7
1164603061	1164603062	1
1164603150	1164603151	1
1164664648	1164665292	644
1164667198	1164667796	598
1164683450	1164686894	3444
1164686980	1164700282	13302
1164700373	1164710980	10607
1164711303	1164720685	9382
1164736111	1164737113	1002
1164737232	1164740200	2968
1164753654	1164755129	1475
1164755238	1164756094	856
1164756280	1164756395	115
1164756507	1164756768	261
1164757097	1164758199	1102
1164769704	1164770015	311
1164770147	1164770486	339
1164770488	1164773570	3082
1164773572	1164774480	908
1164777979	1164778487	508
1164778489	1164779240	751
1164779242	1164782044	2802
1164786174	1164788811	2637
1164788814	1164789050	236
1164789052	1164790135	1083
1164790137	1164790884	747
1164790886	1164791076	190
1164791284	1164791546	262
1164791548	1164791550	2
1164791552	1164793474	1922
1164811999	1164812487	488
1164815678	1164816995	1317
1164817019	1164818178	1159
1164820073	1164823070	2997
1164823148	1164825365	2217
1164825427	1164826375	948
1164828947	1164829601	654
1164829660	1164833250	3590
1165066858	1165066889	31
1165066891	1165068918	2027
1165068920	1165069940	1020
1165069942	1165071619	1677
1165116074	1165116236	162
1165116666	1165117341	675
1165117372	1165123542	6170
1165123544	1165124382	838
1165124384	1165125267	883
1165125269	1165126243	974
1165126245	1165126298	53
1165126300	1165126820	520
1165126822	1165126871	49
1165126873	1165127079	206
1165127081	1165127304	223
1165127306	1165127408	102
1165127411	1165128376	965
1165128378	1165128567	189
1165128569	1165128596	27
1165128598	1165128720	122
1165128723	1165128909	186
1165128911	1165129443	532
1165129445	1165129587	142
1165129589	1165129743	154
1165129745	1165130049	304
1165130051	1165130249	198
1165130252	1165130310	58
1165130312	1165130338	26
1165130340	1165130427	87
1165130429	1165130481	52
1165130483	1165130510	27
1165130512	1165130643	131
1165130645	1165130717	72
1165130719	1165130884	165
1165130886	1165131624	738
1165131626	1165132221	595
1165132223	1165132368	145
1165132370	1165132485	115
1165132487	1165132542	55
1165132544	1165132616	72
1165132618	1165132659	41
1165132661	1165132684	23
1165132686	1165133008	322
1165133010	1165133128	118
1165133131	1165133215	84
1165133217	1165133438	221
1165133440	1165133581	141
1165133583	1165133646	63
1165133648	1165133780	132
1165133782	1165133828	46
1165133830	1165133917	87
1165133919	1165134214	295
1165134217	1165134650	433
1165134652	1165134777	125
1165134779	1165135001	222
1165135003	1165135041	38
1165135043	1165135070	27
1165135072	1165135147	75
1165135149	1165135253	104
1165135255	1165135308	53
1165135310	1165135350	40
1165135352	1165135356	4
1165135358	1165135796	438
1165135798	1165136023	225
1165136025	1165136280	255
1165136282	1165136316	34
1165142625	1165155680	13055
1165155713	1165161120	5407
1165161145	1165171824	10679
1165171924	1165178866	6942
1165178912	1165185024	6112
1165185073	1165191021	5948
1165191088	1165191416	328
1165191478	1165191617	139
1165192405	1165192464	59
1165193313	1165197628	4315
1165207772	1165208522	750
1165209612	1165211010	1398
1165221481	1165226046	4565
1165230001	1165230356	355
1165232740	1165234173	1433
1165237671	1165240613	2942
1165341233	1165343062	1829
1165372616	1165374015	1399
1165374045	1165376273	2228
1165386016	1165416474	30458
1165441712	1165445043	3331
1165447750	1165448948	1198
1165449277	1165449439	162
1165453813	1165456308	2495
1165459284	1165459456	172
1165459636	1165462285	2649
1165464542	1165465525	983
1165471953	1165473447	1494
1165482093	1165486466	4373
1165495989	1165497654	1665
1165497660	1165497666	6
1165502899	1165502930	31
1165531976	1165533085	1109
1165536836	1165537764	928
1165560594	1165571297	10703
1165578348	1165591465	13117
1165593872	1165594445	573
