# NR data for NQC calibration 
# q=1 from fit EMR+Caltech q = 12346 at LR
# l m A dA d2A omg domg d2omg
2 1 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
2 2 3.2172858375000002e-01 -2.3147456250000010e-04 -8.7229163750000003e-04 3.6215710624999997e-01 1.1382348000000000e-02 3.4713301999999999e-04
3 1 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
3 2 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
3 3 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
4 1 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
4 2 9.1562812500000035e-05 -6.5817574999999990e-06 -3.7900775000000005e-07 2.9123642500000002e-01 -2.3748960000000003e-02 -1.4530159000000001e-02
4 3 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
4 4 4.2109143750000003e-03 3.4766518749999986e-05 -8.6242187500000008e-06 7.1686358750000001e-01 2.3375730000000001e-02 1.2130942500000015e-04
5 1 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
5 2 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
5 3 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
5 4 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
5 5 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
6 1 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
6 2 2.9383256250000006e-07 -9.3530312499999987e-09 3.1167287500000001e-08 1.7651889999999992e-01 -1.6880000000003836e-05 2.3104356000000000e-02
6 3 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
6 4 6.2223640624999995e-06 3.1580781250000077e-08 4.8610209375000002e-08 6.3637157499999997e-01 2.4287350000000013e-03 -1.0690510000000001e-03
6 5 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00 0.0000000000000000e+00
6 6 1.6914739062500001e-04 4.1963303125000000e-06 -4.9595109374999975e-08 1.0673347875000001e+00 3.4565175000000004e-02 3.3171828000000000e-03
