# m1 m2 mc q a1z a2z Mf af
7.757874395607160523e+01 1.441481487352825575e+01 2.731364143349858509e+01 1.858088200253736888e-01 3.016478561554454263e-01 5.455549196895508324e-01 9.015215509108092817e+01 5.897257522040393329e-01
3.485380487567239527e+01 2.961575947430792510e+01 2.795071325245544003e+01 8.497138140283624352e-01 -7.931301489485093059e-01 7.690374399988465504e-01 6.153919526291847575e+01 6.287588816136602254e-01
4.082911603182894567e+01 2.133028715260048003e+01 2.542603499809440493e+01 5.224283360916297525e-01 -2.915718824334818104e-01 8.273272363169620336e-02 5.992447317057305156e+01 5.451928586533634213e-01
3.865186171334818965e+01 2.474314660934683729e+01 2.678947450391769891e+01 6.401540705295947209e-01 -1.704696838232210299e-01 3.559184509976887067e-02 6.074603271175429597e+01 6.188383297295979579e-01
6.361649893400267786e+01 1.850375075330370933e+01 2.881427311895887300e+01 2.908640221226250766e-01 4.303583312159008911e-01 -5.496428133424691165e-01 7.945603358322991028e+01 6.982748910393836717e-01
3.936686339973611126e+01 2.556034142516273633e+01 2.748736674982828632e+01 6.492856991327908833e-01 -6.082394149454171117e-01 8.219283130787461422e-01 6.222881046232991764e+01 5.783687876788471405e-01
4.268359080508163572e+01 1.938204595487337656e+01 2.466187527235065247e+01 4.540865843125334034e-01 8.077937075294028269e-02 -9.300775708205227810e-01 5.992714582027216608e+01 5.844158901275033902e-01
3.820307604488597519e+01 2.211772372736054493e+01 2.511943338989783214e+01 5.789513834271813320e-01 3.474857837841726499e-02 -9.409873013246644602e-01 5.808435093159660312e+01 5.840909326121318523e-01
6.638779961846083211e+01 1.674292302257516241e+01 2.777150538788922063e+01 2.521987943387020148e-01 2.152472217183873382e-01 4.265420956153957444e-01 8.099535528332845047e+01 5.956639956669445013e-01
3.568788862132576156e+01 2.753004005628775275e+01 2.724134625750319927e+01 7.714112860080161171e-01 -6.009616066700075587e-02 -2.028318207920770666e-01 6.042074355463469715e+01 6.421039102043036850e-01
3.768554681263842809e+01 2.351685323458385213e+01 2.577381621344222040e+01 6.240284465421930271e-01 -7.056783576750247367e-01 6.620525881623511300e-01 5.888786825838649008e+01 5.237138521986822726e-01
6.110192631533542595e+01 1.646226720924065745e+01 2.652127953640014368e+01 2.694230477167287030e-01 1.106876191186321676e-02 9.698918294695523246e-01 7.564010774413334559e+01 5.199329938690714359e-01
3.267616721279984660e+01 3.217295414989276736e+01 2.822619975357698507e+01 9.845999973121094540e-01 6.735251762212143833e-02 -1.382121420489618169e-01 6.176057569165794092e+01 6.763262934615794642e-01
6.690400411489018495e+01 1.222257495651382797e+01 2.332944535919551399e+01 1.826882429267573105e-01 6.076785669980641624e-02 1.437100767643331445e-01 7.780637819469531280e+01 4.341417601669667614e-01
